"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"AS","SFO","SEA","JFK","88","80","-8","-30"
"B6","SFO","LAS","JFK","12","-2","-5","-35"
"AA","SFO","PHX","JFK","-13","-32","44","32"
"DL","SFO","ATL","JFK","-2","-17","7","-7"
"AA","SFO","MIA","JFK","-3","-14","0","13"
"VX","SFO","LAX","JFK","13","11","35","11"
"AA","SFO","LAX","JFK","-8","-6","8","-11"
"DL","SFO","ATL","JFK","0","-17","7","1"
"DL","SFO","ATL","JFK","8","-7","7","1"
"AA","SFO","PHX","JFK","-6","-14","80","61"
"AA","SFO","LAX","JFK","-5","-3","16","10"
"AA","SFO","LAX","JFK","-5","-3","18","2"
"B6","SFO","FLL","JFK","-2","10","14","-5"
"B6","SFO","FLL","JFK","-2","10","38","28"
"VX","SFO","LAX","JFK","-1","-3","18","-3"
"DL","SFO","ATL","JFK","0","-26","-1","-33"
"AA","SFO","PHX","JFK","-5","-6","-3","-25"
"VX","SFO","LAX","JFK","-4","-12","28","7"
"AA","SFO","PHX","JFK","-7","-7","0","-16"
"AA","SFO","LAX","JFK","-5","-6","-8","6"
"VX","SFO","LAX","JFK","-9","-17","-8","-5"
"AA","SFO","LAX","JFK","-6","-10","-5","29"
"AA","SFO","LAX","JFK","-6","-10","32","32"
"AA","SFO","LAX","JFK","-6","-24","-5","29"
"AA","SFO","LAX","JFK","-6","-24","32","32"
"B6","SFO","FLL","JFK","6","-8","2","-5"
"DL","SFO","ATL","JFK","-3","-3","-1","-20"
"AA","SFO","PHX","JFK","-6","-19","4","2"
"DL","SFO","ATL","JFK","-2","-12","-1","-22"
"AA","SFO","MIA","JFK","0","-21","36","27"
"VX","SFO","LAX","JFK","-8","-15","6","7"
"AA","SFO","LAX","JFK","-5","-13","-3","1"
"VX","SFO","LAX","JFK","-6","-12","6","7"
"DL","SFO","ATL","JFK","-1","-16","70","90"
"AA","SFO","PHX","JFK","-7","-1","14","40"
"AA","SFO","LAX","JFK","-6","-14","-7","20"
"B6","SFO","FLL","JFK","11","10","39","36"
"B6","SFO","FLL","JFK","11","10","132","138"
"DL","SFO","ATL","JFK","1","-16","32","20"
"AA","SFO","PHX","JFK","0","-12","0","4"
"VX","SFO","LAX","JFK","-4","-5","68","72"
"AA","SFO","LAX","JFK","0","2","256","235"
"AA","SFO","PHX","JFK","-9","-1","4","-9"
"AA","SFO","LAX","JFK","-6","-8","-5","4"
"AA","SFO","LAX","JFK","-6","-8","-10","4"
"VX","SFO","LAX","JFK","-8","3","1","2"
"AA","SFO","LAX","JFK","-6","-26","-5","4"
"VX","SFO","LAX","JFK","-3","-1","1","2"
"B6","SFO","FLL","JFK","1","-1","-7","-21"
"DL","SFO","ATL","JFK","-2","-11","-2","-25"
"AA","SFO","PHX","JFK","-10","-5","4","0"
"DL","SFO","ATL","JFK","0","-3","-5","-22"
"AA","SFO","MIA","JFK","6","8","50","54"
"VX","SFO","LAX","JFK","-5","-1","-1","-15"
"AA","SFO","LAX","JFK","-7","-20","-5","-18"
"AA","SFO","LAX","JFK","-7","-20","45","34"
"DL","SFO","ATL","JFK","-3","-19","-1","-23"
"AA","SFO","LAX","JFK","-4","-5","-4","-9"
"AA","SFO","LAX","JFK","-4","-5","-5","-10"
"AA","SFO","PHX","JFK","12","17","-1","-1"
"AA","SFO","PHX","JFK","4","2","9","14"
"AA","SFO","LAX","JFK","111","110","-1","-5"
"VX","SFO","LAX","JFK","27","21","-2","-7"
"AA","SFO","LAX","JFK","100","79","-1","-5"
"AA","SFO","LAX","JFK","26","21","-1","-5"
"DL","SFO","ATL","JFK","5","-1","-2","-30"
"AA","SFO","PHX","JFK","-8","-16","0","24"
"DL","SFO","ATL","JFK","-3","-13","26","2"
"AA","SFO","MIA","JFK","-1","-20","18","11"
"VX","SFO","LAX","JFK","0","2","4","-17"
"AA","SFO","LAX","JFK","-1","1","58","56"
"DL","SFO","ATL","JFK","0","-10","9","-20"
"VX","SFO","LAX","JFK","-2","8","4","-17"
"DL","SFO","ATL","JFK","-1","-22","9","-20"
"AA","SFO","PHX","JFK","17","11","-4","-11"
"AA","SFO","LAX","JFK","-4","-13","-6","-13"
"AA","SFO","LAX","JFK","-4","-13","28","10"
"DL","SFO","ATL","JFK","0","-19","-1","-25"
"AA","SFO","PHX","JFK","-7","-4","-7","4"
"VX","SFO","LAX","JFK","-4","0","-2","14"
"AA","SFO","PHX","JFK","-5","-5","-4","-5"
"AA","SFO","LAX","JFK","-2","-9","17","4"
"AA","SFO","LAX","JFK","-2","-9","-6","13"
"VX","SFO","LAX","JFK","-4","0","-2","1"
"AA","SFO","LAX","JFK","2","-5","-4","-9"
"AA","SFO","LAX","JFK","2","-5","17","4"
"AA","SFO","LAX","JFK","-5","-9","-4","-9"
"VX","SFO","LAX","JFK","-7","-4","-2","1"
"B6","SFO","FLL","JFK","18","16","-4","-18"
"DL","SFO","ATL","JFK","16","9","-3","-17"
"AA","SFO","MIA","JFK","43","39","113","97"
"AA","SFO","PHX","JFK","-6","-18","-8","-4"
"DL","SFO","ATL","JFK","-3","-12","-2","-28"
"AA","SFO","MIA","JFK","-7","-12","21","24"
"VX","SFO","LAX","JFK","-5","-9","-4","-7"
"AA","SFO","LAX","JFK","-6","-17","-6","-11"
"VX","SFO","LAX","JFK","-2","-11","-4","-7"
"DL","SFO","ATL","JFK","-5","-25","-1","-18"
"AA","SFO","PHX","JFK","-14","-21","-3","1"
"AA","SFO","LAX","JFK","-4","-15","4","14"
"AA","SFO","LAX","JFK","-4","-15","-5","-2"
"B6","SFO","FLL","JFK","0","-6","-1","-3"
"B6","SFO","FLL","JFK","0","-6","0","-7"
"VX","SFO","LAX","JFK","-3","-12","-1","2"
"DL","SFO","ATL","JFK","-5","-21","-1","-23"
"AA","SFO","PHX","JFK","-6","-13","-7","-7"
"AA","SFO","LAX","JFK","-9","-29","-5","-9"
"AA","SFO","LAX","JFK","-10","-16","-10","-13"
"AA","SFO","LAX","JFK","-10","-16","13","8"
"AA","SFO","LAX","JFK","-3","-19","-10","-13"
"AA","SFO","LAX","JFK","-3","-19","13","8"
"B6","SFO","FLL","JFK","27","19","-3","1"
"DL","SFO","ATL","JFK","-2","-8","-1","-17"
"AA","SFO","PHX","JFK","-4","-9","9","12"
"DL","SFO","ATL","JFK","2","-10","-1","-24"
"AA","SFO","MIA","JFK","3","-12","1","6"
"AA","SFO","LAX","JFK","77","63","-5","-7"
"DL","SFO","ATL","JFK","-1","-10","-1","-14"
"VX","SFO","LAX","JFK","-6","-5","0","5"
"DL","SFO","ATL","JFK","-5","-10","-1","-14"
"AA","SFO","PHX","JFK","18","8","-1","6"
"B6","SFO","FLL","JFK","72","71","0","-15"
"AA","SFO","PHX","JFK","-3","-5","2","-1"
"VX","SFO","LAX","JFK","52","46","10","21"
"DL","SFO","ATL","JFK","1","-7","-3","-29"
"VX","SFO","LAX","JFK","11","2","10","21"
"AA","SFO","PHX","JFK","8","2","-1","-8"
"AA","SFO","LAX","JFK","45","39","-6","5"
"AA","SFO","LAX","JFK","45","39","-7","10"
"VX","SFO","LAX","JFK","17","22","3","6"
"VX","SFO","LAX","JFK","17","53","3","6"
"AA","SFO","LAX","JFK","-2","18","-6","5"
"AA","SFO","LAX","JFK","-2","18","-7","10"
"AA","SFO","LAX","JFK","21","-1","-6","5"
"B6","SFO","FLL","JFK","91","85","5","-22"
"DL","SFO","ATL","JFK","31","35","-2","-13"
"DL","SFO","ATL","JFK","31","35","0","-17"
"AA","SFO","PHX","JFK","3","-4","-4","2"
"DL","SFO","ATL","JFK","-1","-3","2","-19"
"AA","SFO","MIA","JFK","-10","-4","5","2"
"VX","SFO","LAX","JFK","-3","-2","-3","7"
"AA","SFO","LAX","JFK","-4","-8","-3","9"
"DL","SFO","ATL","JFK","0","-10","0","-13"
"VX","SFO","LAX","JFK","10","10","-3","7"
"DL","SFO","ATL","JFK","-1","-13","0","-13"
"AA","SFO","PHX","JFK","-5","-3","1","13"
"AA","SFO","LAX","JFK","41","45","-8","-3"
"B6","SFO","FLL","JFK","67","82","5","-7"
"VX","SFO","LAX","JFK","68","57","-4","12"
"DL","SFO","ATL","JFK","-4","-14","-1","-22"
"AA","SFO","PHX","JFK","-7","-8","-1","3"
"VX","SFO","LAX","JFK","-3","-2","-4","12"
"VX","SFO","LAX","JFK","24","39","20","2"
"VX","SFO","LAX","JFK","42","40","20","2"
"VX","SFO","LAX","JFK","35","23","5","-2"
"VX","SFO","LAX","JFK","78","66","28","14"
"AA","SFO","LAX","JFK","28","18","-1","17"
"AA","SFO","LAX","JFK","28","18","5","5"
"VX","SFO","LAX","JFK","34","61","28","14"
"AA","SFO","MIA","JFK","4","-8","-7","-5"
"DL","SFO","ATL","JFK","68","57","0","-18"
"B6","SFO","FLL","JFK","178","187","6","22"
"DL","SFO","ATL","JFK","14","-2","0","-18"
"DL","SFO","ATL","JFK","6","-7","0","-28"
"AA","SFO","MIA","JFK","19","6","-3","3"
"VX","SFO","LAX","JFK","-3","-3","8","-3"
"DL","SFO","ATL","JFK","-2","-19","0","-14"
"VX","SFO","LAX","JFK","0","14","8","-3"
"DL","SFO","ATL","JFK","8","-12","0","-14"
"AA","SFO","PHX","JFK","26","25","-6","-24"
"AA","SFO","MIA","JFK","-2","-6","12","-11"
"VX","SFO","LAX","JFK","-1","4","-7","-5"
"AA","SFO","PHX","JFK","152","140","4","-17"
"AA","SFO","PHX","JFK","32","25","4","-17"
"VX","SFO","LAX","JFK","130","123","54","66"
"AA","SFO","LAX","JFK","100","97","-2","18"
"AA","SFO","LAX","JFK","100","97","157","185"
"VX","SFO","LAX","JFK","17","25","54","66"
"AA","SFO","MIA","JFK","39","54","-10","-5"
"DL","SFO","ATL","JFK","156","166","-1","-18"
"B6","SFO","FLL","JFK","306","300","48","55"
"DL","SFO","ATL","JFK","57","49","3","-9"
"AA","SFO","PHX","JFK","-1","-12","30","61"
"DL","SFO","ATL","JFK","6","12","23","24"
"AA","SFO","MIA","JFK","-5","-13","31","68"
"AA","SFO","LAX","JFK","2","17","2","-16"
"DL","SFO","ATL","JFK","3","0","22","6"
"AA","SFO","PHX","JFK","17","18","31","39"
"B6","SFO","FLL","JFK","87","116","33","27"
"VX","SFO","LAX","JFK","47","45","62","42"
"AA","SFO","PHX","JFK","30","17","-3","-7"
"DL","SFO","ATL","JFK","12","9","14","16"
"VX","SFO","LAX","JFK","0","1","76","58"
"AA","SFO","PHX","JFK","86","67","3","8"
"VX","SFO","LAX","JFK","73","59","71","105"
"VX","SFO","LAX","JFK","73","79","23","27"
"VX","SFO","LAX","JFK","73","79","71","105"
"AA","SFO","LAX","JFK","6","0","13","16"
"VX","SFO","LAX","JFK","2","-13","23","27"
"VX","SFO","LAX","JFK","2","-13","71","105"
"AA","SFO","LAX","JFK","61","52","-7","0"
"AA","SFO","LAX","JFK","61","52","67","75"
"AA","SFO","MIA","JFK","2","-14","2","-9"
"B6","SFO","FLL","JFK","193","185","33","24"
"DL","SFO","ATL","JFK","-5","0","-2","-13"
"DL","SFO","ATL","JFK","1","-15","-1","-16"
"AA","SFO","PHX","JFK","-2","-9","4","13"
"AA","SFO","MIA","JFK","7","19","57","73"
"DL","SFO","ATL","JFK","31","8","3","-15"
"VX","SFO","LAX","JFK","-4","1","85","91"
"VX","SFO","LAX","JFK","1","6","85","91"
"B6","SFO","FLL","JFK","169","148","75","105"
"VX","SFO","LAX","JFK","5","-5","2","1"
"DL","SFO","DTW","JFK","9","-2","128","176"
"DL","SFO","ATL","JFK","-2","-36","59","129"
"AA","SFO","PHX","JFK","-6","-18","8","19"
"AA","SFO","MIA","JFK","-4","-27","50","61"
"VX","SFO","LAX","JFK","-2","0","45","57"
"AA","SFO","LAX","JFK","-1","13","-6","-11"
"AA","SFO","PHX","JFK","2","-10","12","-14"
"VX","SFO","LAX","JFK","36","30","32","13"
"VX","SFO","LAX","JFK","2","7","32","13"
"AA","SFO","LAX","JFK","32","15","-5","-4"
"AA","SFO","LAX","JFK","32","15","11","-8"
"VX","SFO","LAX","JFK","-2","-12","18","8"
"VX","SFO","LAX","JFK","-2","-12","32","13"
"AA","SFO","LAX","JFK","6","12","-5","-4"
"AA","SFO","MIA","JFK","12","-14","-5","-1"
"B6","SFO","FLL","JFK","14","2","-1","3"
"B6","SFO","FLL","JFK","14","2","-5","-1"
"DL","SFO","ATL","JFK","-3","-14","26","95"
"AA","SFO","PHX","JFK","-2","-3","-5","-36"
"DL","SFO","ATL","JFK","3","-2","114","101"
"AA","SFO","LAX","JFK","-4","-16","-7","-39"
"AA","SFO","MIA","JFK","71","42","22","21"
"DL","SFO","DTW","JFK","10","-24","-4","-16"
"VX","SFO","LAX","JFK","18","27","-3","-45"
"DL","SFO","ATL","JFK","-2","-19","114","101"
"AA","SFO","PHX","JFK","0","-22","17","3"
"B6","SFO","FLL","JFK","50","50","-1","-6"
"B6","SFO","FLL","JFK","50","50","7","-5"
"B6","SFO","FLL","JFK","50","50","141","150"
"DL","SFO","ATL","JFK","66","45","78","60"
"AA","SFO","PHX","JFK","7","-10","10","-20"
"VX","SFO","LAX","JFK","11","11","10","-15"
"AA","SFO","LAX","JFK","-4","10","48","7"
"AA","SFO","PHX","JFK","10","-8","4","-27"
"VX","SFO","LAX","JFK","15","8","6","-8"
"VX","SFO","LAX","JFK","61","50","6","-8"
"AA","SFO","MIA","JFK","61","38","-4","-15"
"B6","SFO","FLL","JFK","-2","0","-2","-15"
"DL","SFO","ATL","JFK","82","77","0","-17"
"AA","SFO","PHX","JFK","-3","-18","8","-20"
"DL","SFO","ATL","JFK","9","-15","1","-14"
"DL","SFO","ATL","JFK","9","-15","429","425"
"AA","SFO","MIA","JFK","5","-15","-7","-14"
"DL","SFO","DTW","JFK","-5","-38","0","-4"
"VX","SFO","LAX","JFK","3","-2","0","-35"
"DL","SFO","ATL","JFK","10","5","3","-14"
"VX","SFO","LAX","JFK","-2","-15","0","-35"
"DL","SFO","ATL","JFK","15","-5","3","-14"
"AA","SFO","PHX","JFK","12","-1","19","-19"
"B6","SFO","FLL","JFK","-2","-4","-9","-17"
"AA","SFO","PHX","JFK","3","-10","-11","-45"
"AA","SFO","MIA","JFK","-2","-19","-4","-28"
"VX","SFO","LAX","JFK","-1","7","2","-20"
"AA","SFO","PHX","JFK","-3","-1","16","-21"
"VX","SFO","LAX","JFK","25","12","-3","-33"
"VX","SFO","LAX","JFK","-1","-14","-3","-33"
"VX","SFO","LAX","JFK","-5","5","0","-11"
"VX","SFO","LAX","JFK","6","-4","0","-11"
"AA","SFO","MIA","JFK","0","-10","-4","-17"
"B6","SFO","FLL","JFK","-3","1","-6","-15"
"B6","SFO","FLL","JFK","-3","1","0","-4"
"DL","SFO","ATL","JFK","-5","-10","14","9"
"AA","SFO","LAX","JFK","-6","-13","-5","2"
"VX","SFO","LAX","JFK","-1","8","4","3"
"DL","SFO","ATL","JFK","36","51","-1","-6"
"VX","SFO","LAX","JFK","0","15","4","3"
"AA","SFO","PHX","JFK","-7","-8","-5","16"
"B6","SFO","FLL","JFK","1","5","12","12"
"B6","SFO","FLL","JFK","1","5","22","21"
"VX","SFO","LAX","JFK","-4","-9","1","7"
"AA","SFO","PHX","JFK","-2","-14","12","14"
"DL","SFO","ATL","JFK","0","4","8","-9"
"VX","SFO","LAX","JFK","0","-8","1","20"
"VX","SFO","LAX","JFK","0","-8","39","29"
"AA","SFO","PHX","JFK","-3","-20","2","-8"
"VX","SFO","LAX","JFK","36","52","8","8"
"AA","SFO","MIA","JFK","-2","4","0","9"
"DL","SFO","ATL","JFK","5","38","4","10"
"DL","SFO","LAX","JFK","108","102","13","-10"
"B6","SFO","LAS","JFK","-6","1","4","-21"
"B6","SFO","BOS","JFK","-8","-26","195","194"
"DL","SFO","LAX","JFK","39","16","13","-10"
"DL","SFO","LAX","JFK","0","11","13","-10"
"AA","SFO","ORD","JFK","26","3","8","21"
"AA","SFO","DFW","JFK","-1","-24","9","16"
"DL","SFO","LAX","JFK","2","0","10","-4"
"AA","SFO","ORD","JFK","-2","-21","8","21"
"AA","SFO","CLT","JFK","0","-13","9","27"
"B6","SFO","BOS","JFK","13","13","62","67"
"B6","SFO","BOS","JFK","13","13","68","69"
"B6","SFO","BOS","JFK","13","13","124","133"
"DL","SFO","LAX","JFK","0","-2","0","-30"
"AS","SFO","SEA","JFK","-16","-4","-2","-21"
"DL","SFO","LAX","JFK","60","49","0","-31"
"AS","SFO","SEA","JFK","-17","-2","-2","-21"
"DL","SFO","LAX","JFK","-3","9","-1","-35"
"DL","SFO","LAX","JFK","4","7","1","-39"
"DL","SFO","LAX","JFK","4","7","-1","-35"
"B6","SFO","BOS","JFK","-1","-7","39","49"
"AA","SFO","CLT","JFK","-5","-15","-4","-23"
"DL","SFO","MSP","JFK","0","-3","-4","-27"
"AA","SFO","CLT","JFK","-3","-2","-2","7"
"AA","SFO","ORD","JFK","-6","-17","-4","-31"
"B6","SFO","LAS","JFK","-7","-4","7","-14"
"B6","SFO","BOS","JFK","-2","-4","-2","-8"
"DL","SFO","LAX","JFK","5","-14","5","-19"
"DL","SFO","LAX","JFK","-2","-7","5","-19"
"AA","SFO","ORD","JFK","-3","-14","-5","-23"
"AA","SFO","DFW","JFK","-2","-17","-1","-10"
"AA","SFO","DFW","JFK","-2","-17","387","363"
"DL","SFO","LAX","JFK","-3","11","-5","-34"
"AA","SFO","ORD","JFK","-6","-12","-5","-23"
"AA","SFO","CLT","JFK","-4","-14","7","-1"
"AA","SFO","DFW","JFK","-2","-15","387","363"
"DL","SFO","LAX","JFK","-2","-5","-6","-23"
"AS","SFO","SEA","JFK","-11","3","-5","-38"
"AS","SFO","SEA","JFK","-10","-7","-5","-38"
"DL","SFO","LAX","JFK","-5","-21","0","-28"
"DL","SFO","LAX","JFK","-5","-21","-1","-9"
"DL","SFO","LAX","JFK","-2","-10","0","-28"
"AA","SFO","CLT","JFK","-3","-13","-1","-15"
"AA","SFO","ORD","JFK","2","-13","-4","-21"
"AA","SFO","DFW","JFK","-3","-17","0","-25"
"B6","SFO","LAS","JFK","4","5","-6","-30"
"B6","SFO","BOS","JFK","-1","-16","-4","-3"
"DL","SFO","LAX","JFK","0","5","20","11"
"DL","SFO","LAX","JFK","9","37","0","-18"
"AA","SFO","ORD","JFK","-2","-20","-8","-23"
"AA","SFO","DFW","JFK","-1","-10","3","-17"
"DL","SFO","LAX","JFK","-2","15","0","-18"
"AA","SFO","ORD","JFK","-2","-33","-8","-23"
"AA","SFO","CLT","JFK","23","15","-1","-8"
"DL","SFO","LAX","JFK","39","29","-5","-36"
"AA","SFO","CLT","JFK","10","-2","-1","-8"
"AS","SFO","SEA","JFK","-4","-14","14","4"
"DL","SFO","LAX","JFK","5","-7","-1","-28"
"DL","SFO","LAX","JFK","5","-7","-1","-26"
"B6","SFO","LGB","JFK","1","-1","8","15"
"B6","SFO","BOS","JFK","21","4","-5","-8"
"AA","SFO","CLT","JFK","-4","-27","-3","-18"
"DL","SFO","MSP","JFK","25","16","24","26"
"AA","SFO","CLT","JFK","-4","-12","0","0"
"AA","SFO","DFW","JFK","-1","2","-2","-27"
"DL","SFO","LAX","JFK","-3","17","16","4"
"DL","SFO","LAX","JFK","-3","16","16","4"
"DL","SFO","LAX","JFK","5","14","16","4"
"AA","SFO","ORD","JFK","1","-7","300","290"
"AA","SFO","DFW","JFK","-2","-17","17","-3"
"DL","SFO","LAX","JFK","-1","-10","-7","-17"
"AA","SFO","ORD","JFK","0","5","85","69"
"AA","SFO","CLT","JFK","-2","-12","25","13"
"DL","SFO","LAX","JFK","-1","5","-3","-11"
"AA","SFO","CLT","JFK","-1","-2","-1","0"
"AS","SFO","SEA","JFK","9","8","0","-27"
"AS","SFO","SEA","JFK","-8","-12","0","-27"
"VX","SFO","LAS","JFK","-4","-4","21","6"
"DL","SFO","LAX","JFK","-5","-13","0","-7"
"DL","SFO","LAX","JFK","20","43","1","20"
"DL","SFO","LAX","JFK","20","43","25","40"
"B6","SFO","BOS","JFK","16","1","-1","-10"
"AA","SFO","CLT","JFK","20","11","10","-5"
"DL","SFO","MSP","JFK","-7","-17","-2","-27"
"AA","SFO","CLT","JFK","-3","-2","9","-3"
"AA","SFO","ORD","JFK","0","-4","-4","-7"
"AA","SFO","DFW","JFK","-4","-7","26","-1"
"DL","SFO","MSP","JFK","2","-10","-2","-19"
"DL","SFO","LAX","JFK","-1","0","40","15"
"B6","SFO","LAS","JFK","-6","3","6","-5"
"DL","SFO","MSP","JFK","-2","-10","-2","-19"
"DL","SFO","LAX","JFK","5","55","9","-13"
"AA","SFO","ORD","JFK","16","3","-6","49"
"DL","SFO","LAX","JFK","74","77","34","8"
"AA","SFO","CLT","JFK","9","-13","35","31"
"DL","SFO","LAX","JFK","91","104","34","8"
"AA","SFO","CLT","JFK","16","12","23","15"
"DL","SFO","LAX","JFK","127","128","16","-7"
"DL","SFO","SLC","JFK","143","134","19","-12"
"AS","SFO","SEA","JFK","9","-3","3","-45"
"DL","SFO","LAX","JFK","81","93","16","-7"
"B6","SFO","LAS","JFK","61","53","1","-11"
"AA","SFO","CLT","JFK","8","-15","75","89"
"AA","SFO","CLT","JFK","-1","-7","35","28"
"AA","SFO","DFW","JFK","2","-7","29","6"
"DL","SFO","LAX","JFK","21","23","16","-17"
"AA","SFO","ORD","JFK","21","-15","2","3"
"DL","SFO","LAX","JFK","-6","1","29","-1"
"AA","SFO","DFW","JFK","-3","-14","-4","32"
"AA","SFO","ORD","JFK","3","-31","2","3"
"DL","SFO","SLC","JFK","13","1","7","-14"
"AA","SFO","CLT","JFK","123","119","132","120"
"DL","SFO","LAX","JFK","25","36","36","16"
"AS","SFO","SEA","JFK","-3","-1","6","-31"
"B6","SFO","LAS","JFK","-3","-14","5","-1"
"AS","SFO","SEA","JFK","-7","-11","6","-31"
"B6","SFO","BOS","JFK","51","21","48","39"
"AA","SFO","CLT","JFK","1","-6","8","9"
"AA","SFO","DFW","JFK","-2","-16","2","-19"
"DL","SFO","LAX","JFK","2","-12","29","0"
"B6","SFO","BOS","JFK","-1","-6","36","39"
"B6","SFO","LAS","JFK","3","7","27","12"
"AA","SFO","ORD","JFK","4","-14","0","-16"
"DL","SFO","LAX","JFK","-1","4","35","27"
"AA","SFO","DFW","JFK","-6","-24","20","13"
"AS","SFO","SEA","JFK","11","11","6","-45"
"B6","SFO","LAS","JFK","33","25","3","19"
"AS","SFO","SEA","JFK","-8","-10","6","-45"
"DL","SFO","LAX","JFK","-2","-4","-4","-10"
"DL","SFO","LAX","JFK","-2","-4","109","108"
"VX","SFO","LAS","JFK","-3","-10","8","13"
"DL","SFO","LAX","JFK","-5","-5","-4","-10"
"DL","SFO","LAX","JFK","-5","-5","109","108"
"B6","SFO","BOS","JFK","26","32","-2","-12"
"AA","SFO","CLT","JFK","-11","-4","-4","-16"
"DL","SFO","MSP","JFK","-6","-20","-3","-7"
"AA","SFO","CLT","JFK","-9","-21","-3","-16"
"AA","SFO","ORD","JFK","-6","-1","-4","-6"
"AA","SFO","DFW","JFK","-8","-3","0","15"
"B6","SFO","BOS","JFK","-9","-12","-9","-5"
"DL","SFO","LAX","JFK","-2","-1","3","12"
"DL","SFO","LAX","JFK","3","-8","3","12"
"AA","SFO","ORD","JFK","3","-1","-4","-20"
"AA","SFO","DFW","JFK","0","-17","-4","-15"
"DL","SFO","LAX","JFK","-3","-8","-1","4"
"AA","SFO","ORD","JFK","-7","-20","-4","-20"
"AA","SFO","CLT","JFK","-10","-6","0","1"
"DL","SFO","LAX","JFK","-6","-7","-4","12"
"B6","SFO","LAS","JFK","44","45","0","27"
"AS","SFO","SEA","JFK","30","38","27","-6"
"DL","SFO","LAX","JFK","-3","0","-3","-2"
"DL","SFO","LAX","JFK","-3","0","-3","-2"
"B6","SFO","BOS","JFK","-6","-17","8","0"
"AA","SFO","CLT","JFK","-5","-9","-7","-21"
"AA","SFO","ORD","JFK","-7","-25","-5","-14"
"AA","SFO","DFW","JFK","-7","-17","4","-4"
"B6","SFO","LAS","JFK","-5","-25","-3","-12"
"B6","SFO","BOS","JFK","7","-3","-1","4"
"DL","SFO","LAX","JFK","0","0","40","32"
"DL","SFO","LAX","JFK","11","7","40","32"
"AA","SFO","ORD","JFK","-6","-36","-2","-13"
"AA","SFO","DFW","JFK","-2","-15","-4","-12"
"DL","SFO","LAX","JFK","23","27","-9","-8"
"AA","SFO","ORD","JFK","-2","-30","-2","-13"
"AA","SFO","CLT","JFK","2","-3","-6","-9"
"DL","SFO","LAX","JFK","8","8","-1","4"
"AA","SFO","CLT","JFK","-8","-6","-6","-9"
"AS","SFO","SEA","JFK","16","9","5","-26"
"DL","SFO","LAX","JFK","25","18","27","16"
"B6","SFO","BOS","JFK","34","30","-3","-2"
"AA","SFO","CLT","JFK","0","-24","-4","-13"
"DL","SFO","MSP","JFK","-4","-27","-3","-28"
"AA","SFO","CLT","JFK","-8","-36","8","6"
"AA","SFO","ORD","JFK","-4","-30","0","-10"
"AA","SFO","DFW","JFK","-7","-25","0","-12"
"B6","SFO","BOS","JFK","-6","-26","1","-17"
"DL","SFO","LAX","JFK","2","39","6","-13"
"DL","SFO","LAX","JFK","131","178","5","-24"
"AA","SFO","ORD","JFK","-3","-38","-7","-14"
"AA","SFO","DFW","JFK","-5","-3","-3","1"
"AA","SFO","ORD","JFK","-1","-44","-7","-14"
"AA","SFO","CLT","JFK","0","4","-2","-5"
"DL","SFO","LAX","JFK","39","44","5","-24"
"AA","SFO","CLT","JFK","19","-7","-2","-5"
"AS","SFO","SEA","JFK","-9","-4","-2","-20"
"B6","SFO","LAS","JFK","45","41","-2","-27"
"VX","SFO","LAS","JFK","-3","0","6","-8"
"DL","SFO","LAX","JFK","2","9","4","6"
"DL","SFO","LAX","JFK","2","9","1","-16"
"B6","SFO","BOS","JFK","29","20","-6","-3"
"AA","SFO","CLT","JFK","0","-19","1","11"
"DL","SFO","MSP","JFK","7","0","-3","-15"
"AA","SFO","CLT","JFK","13","-19","1","-2"
"AA","SFO","ORD","JFK","0","-28","-2","-14"
"AA","SFO","DFW","JFK","-3","-7","4","3"
"DL","SFO","MSP","JFK","178","154","-9","-37"
"B6","SFO","BOS","JFK","-9","-44","-1","-8"
"DL","SFO","LAX","JFK","221","229","-4","-36"
"DL","SFO","LAX","JFK","17","15","39","6"
"AA","SFO","ORD","JFK","0","-18","11","-14"
"DL","SFO","LAX","JFK","2","14","-8","-44"
"AA","SFO","CLT","JFK","-9","-22","-1","15"
"DL","SFO","LAX","JFK","-5","11","-4","-36"
"AA","SFO","CLT","JFK","-3","-1","-2","1"
"AS","SFO","SEA","JFK","-12","-11","-1","-46"
"B6","SFO","LAS","JFK","75","70","25","3"
"AS","SFO","SEA","JFK","-2","9","-1","-46"
"VX","SFO","LAS","JFK","2","25","-4","-35"
"DL","SFO","LAX","JFK","-4","-11","-2","-6"
"DL","SFO","LAX","JFK","-4","-11","0","-27"
"DL","SFO","LAX","JFK","17","15","19","0"
"DL","SFO","LAX","JFK","17","15","-2","-6"
"B6","SFO","BOS","JFK","9","-15","-4","-8"
"B6","SFO","BOS","JFK","10","-7","-3","-7"
"DL","SFO","MSP","JFK","-9","3","-3","-21"
"AA","SFO","CLT","JFK","-5","-19","4","10"
"AA","SFO","DFW","JFK","-7","-6","4","-19"
"B6","SFO","LAS","JFK","-7","-20","-2","-24"
"DL","SFO","LAX","JFK","-2","-12","3","-7"
"AA","SFO","ORD","JFK","-2","-25","-5","-18"
"AA","SFO","DFW","JFK","-5","-10","4","-8"
"AA","SFO","ORD","JFK","-7","-36","-5","-18"
"AA","SFO","CLT","JFK","-7","-8","0","1"
